run,status_code,execution_time_ms,total_kernel_ticks,total_kernel_ms,kinit_ms,vm_init_ms,procinit_ms,userinit_ms,boot_completed,timed_out,return_code,stopped_after_boot,panic
1,200,270.36094665527344,1003613,100.3613,97.0507,2.0722,0.0516,0.235,True,False,0,True,True
2,200,264.3709182739258,997621,99.7621,96.5822,1.9068,0.0513,0.2375,True,False,0,True,True
3,200,269.869327545166,1006474,100.6474,97.3545,1.957,0.0552,0.23800000000000002,True,False,0,True,True
4,200,289.77322578430176,1050917,105.0917,101.3688,2.0405,0.067,0.2581,True,False,0,True,True
5,200,282.0439338684082,1056017,105.60170000000001,102.19789999999999,2.0901,0.054400000000000004,0.2455,True,False,0,True,True
