run,status_code,execution_time_ms,total_kernel_ticks,total_kernel_ms,kinit_ms,vm_init_ms,procinit_ms,userinit_ms,boot_completed,timed_out,return_code,stopped_after_boot,panic
1,200,284.5449447631836,1049528,104.9528,101.59519999999999,2.0629,0.0573,0.2596,True,False,0,True,True
2,200,281.2535762786865,1068882,106.8882,103.3382,2.1576,0.0577,0.2544,True,False,0,True,True
3,200,285.19320487976074,1047080,104.708,101.0283,2.0084,0.0571,0.3773,True,False,0,True,True
4,200,276.9308090209961,1044885,104.4885,101.0968,2.0294000000000003,0.053399999999999996,0.24600000000000002,True,False,0,True,True
5,200,282.70721435546875,1065448,106.5448,103.1091,2.0429,0.0635,0.2608,True,False,0,True,True
